====== H (1000) into Layer 1                    =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 4000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicij
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =50000.00
 Total Target Vacancies     = 52 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  2103.50E-09  6352.21E-09  
800000.E-01  2924.00E-09  8805.44E-09  
120000.E+00  3391.00E-09  6054.92E-09  
160000.E+00  3518.00E-09  8944.02E-09  
200000.E+00  3518.50E-09  7710.67E-09  
240000.E+00  3606.00E-09  9628.66E-09  
280000.E+00  3690.50E-09  8982.60E-09  
320000.E+00  3764.50E-09  9786.11E-09  
360000.E+00  3826.50E-09  9319.78E-09  
400000.E+00  3941.00E-09  1121.19E-08  
440000.E+00  4074.50E-09  9908.69E-09  
480000.E+00  4079.00E-09  1246.49E-08  
520000.E+00  4213.00E-09  1431.52E-08  
560000.E+00  4347.00E-09  1180.73E-08  
600000.E+00  4415.50E-09  1062.49E-08  
640000.E+00  4585.00E-09  1035.54E-08  
680000.E+00  4636.00E-09  1219.52E-08  
720000.E+00  4758.00E-09  1347.74E-08  
760000.E+00  4942.50E-09  1477.74E-08  
800000.E+00  5063.00E-09  1366.97E-08  
840000.E+00  5371.00E-09  1383.47E-08  
880000.E+00  5503.50E-09  1454.23E-08  
920000.E+00  5707.50E-09  1272.60E-08  
960000.E+00  6009.00E-09  1382.76E-08  
100000.E+01  6321.50E-09  1476.93E-08  
104000.E+01  6640.50E-09  1746.95E-08  
108000.E+01  6963.50E-09  1656.84E-08  
112000.E+01  7559.50E-09  1709.57E-08  
116000.E+01  7927.50E-09  2117.15E-08  
120000.E+01  8658.00E-09  2112.37E-08  
124000.E+01  9387.50E-09  2120.18E-08  
128000.E+01  1035.40E-08  2512.67E-08  
132000.E+01  1181.20E-08  3217.73E-08  
136000.E+01  1378.75E-08  3119.82E-08  
140000.E+01  1701.35E-08  3773.26E-08  
144000.E+01  2472.40E-08  5158.08E-08  
148000.E+01  6563.80E-08  9941.96E-08  
152000.E+01  1192.29E-07  1327.68E-07  
156000.E+01  3671.15E-08  3407.16E-08  
160000.E+01  1377.50E-09  9969.14E-10  
164000.E+01  7000.00E-12  2273.18E-12  
168000.E+01  0000.00E+00  0000.00E+00  
172000.E+01  0000.00E+00  0000.00E+00  
176000.E+01  0000.00E+00  0000.00E+00  
180000.E+01  0000.00E+00  0000.00E+00  
184000.E+01  0000.00E+00  0000.00E+00  
188000.E+01  0000.00E+00  0000.00E+00  
192000.E+01  0000.00E+00  0000.00E+00  
196000.E+01  0000.00E+00  0000.00E+00  
200000.E+01  0000.00E+00  0000.00E+00  
204000.E+01  0000.00E+00  0000.00E+00  
