====== H (1000) into Layer 1                    =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 5000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Silicij
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =50000.00
 Total Target Vacancies     = 59 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  1335.00E-09  2748.57E-09  
800000.E-01  2375.50E-09  9853.30E-09  
120000.E+00  2667.00E-09  6674.57E-09  
160000.E+00  2723.50E-09  6688.70E-09  
200000.E+00  2785.50E-09  9455.23E-09  
240000.E+00  2808.00E-09  5373.43E-09  
280000.E+00  2899.50E-09  7695.83E-09  
320000.E+00  2877.00E-09  8469.23E-09  
360000.E+00  2850.00E-09  7259.22E-09  
400000.E+00  2977.00E-09  4818.28E-09  
440000.E+00  2942.50E-09  9336.80E-09  
480000.E+00  3086.50E-09  9624.96E-09  
520000.E+00  3066.00E-09  7415.66E-09  
560000.E+00  3031.50E-09  6715.31E-09  
600000.E+00  3109.00E-09  6601.05E-09  
640000.E+00  3252.50E-09  9522.70E-09  
680000.E+00  3310.50E-09  6834.21E-09  
720000.E+00  3352.50E-09  6626.76E-09  
760000.E+00  3339.00E-09  7575.13E-09  
800000.E+00  3484.00E-09  7900.99E-09  
840000.E+00  3532.00E-09  1078.63E-08  
880000.E+00  3629.00E-09  1218.87E-08  
920000.E+00  3532.50E-09  1050.89E-08  
960000.E+00  3710.00E-09  8288.10E-09  
100000.E+01  3778.50E-09  9544.60E-09  
104000.E+01  3860.00E-09  8900.96E-09  
108000.E+01  3901.00E-09  1022.58E-08  
112000.E+01  3982.50E-09  9571.46E-09  
116000.E+01  4136.00E-09  9682.80E-09  
120000.E+01  4177.50E-09  1048.47E-08  
124000.E+01  4304.00E-09  1214.78E-08  
128000.E+01  4386.00E-09  1154.68E-08  
132000.E+01  4580.00E-09  9098.49E-09  
136000.E+01  4624.50E-09  1164.76E-08  
140000.E+01  4795.50E-09  1056.36E-08  
144000.E+01  4975.50E-09  1248.42E-08  
148000.E+01  5173.00E-09  1415.64E-08  
152000.E+01  5387.00E-09  1388.32E-08  
156000.E+01  5484.00E-09  1413.00E-08  
160000.E+01  5848.50E-09  1745.09E-08  
164000.E+01  6164.50E-09  1387.16E-08  
168000.E+01  6365.50E-09  1527.14E-08  
172000.E+01  6657.00E-09  1792.16E-08  
176000.E+01  7014.50E-09  1653.06E-08  
180000.E+01  7504.50E-09  1668.53E-08  
184000.E+01  7920.00E-09  1924.39E-08  
188000.E+01  8631.00E-09  2339.68E-08  
192000.E+01  9315.00E-09  2031.57E-08  
196000.E+01  1041.95E-08  2448.49E-08  
200000.E+01  1176.15E-08  2684.90E-08  
204000.E+01  1406.80E-08  3227.91E-08  
