====== H (10) into Layer 1                      =======
        SRIM-2013.00
==========================================
    Ion and Target VACANCY production     
  See SRIM Outputs\TDATA.txt for calc. details
==========================================
--------------------------------------------------------------------
    Recoil/Damage Calculations made with Kinchin-Pease Estimates    
--------------------------------------------------------------------
 See file :  SRIM Outputs\TDATA.txt for calculation data
 Ion    =  H   Energy = 6000 keV
============= TARGET MATERIAL ======================================
Layer  1 : Layer 1
Layer Width =     4.E+06 A ;
  Layer # 1- Density = 4.976E22 atoms/cm3 = 2.321 g/cm3
  Layer # 1- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =5000.00
 Total Target Vacancies     = 65 /Ion

==========================================================
  Table Units are  >>>> Vacancies/(Angstrom-Ion)  <<<<  
==========================================================
   TARGET     VACANCIES     VACANCIES 
   DEPTH         by            by     
   (Ang.)       IONS         RECOILS  
-----------  -----------  ------------
400000.E-01  9150.00E-10  1150.64E-09  
800000.E-01  1930.00E-09  3141.93E-09  
120000.E+00  2110.00E-09  5002.94E-09  
160000.E+00  2100.00E-09  5547.25E-09  
200000.E+00  2345.00E-09  1185.59E-08  
240000.E+00  2350.00E-09  1569.70E-08  
280000.E+00  2330.00E-09  3420.41E-09  
320000.E+00  2345.00E-09  2800.57E-09  
360000.E+00  2495.00E-09  5118.62E-09  
400000.E+00  2485.00E-09  4267.38E-09  
440000.E+00  2465.00E-09  3156.67E-09  
480000.E+00  2415.00E-09  3506.77E-09  
520000.E+00  2605.00E-09  1160.16E-08  
560000.E+00  2390.00E-09  5049.40E-09  
600000.E+00  2615.00E-09  1011.35E-08  
640000.E+00  2680.00E-09  9161.99E-09  
680000.E+00  2505.00E-09  5518.75E-09  
720000.E+00  2295.00E-09  3645.17E-09  
760000.E+00  2440.00E-09  5298.64E-09  
800000.E+00  2830.00E-09  1619.35E-08  
840000.E+00  2685.00E-09  5696.66E-09  
880000.E+00  2675.00E-09  7036.58E-09  
920000.E+00  2525.00E-09  2762.86E-09  
960000.E+00  2980.00E-09  7951.61E-09  
100000.E+01  2785.00E-09  4419.80E-09  
104000.E+01  2935.00E-09  5199.92E-09  
108000.E+01  2995.00E-09  7809.14E-09  
112000.E+01  2840.00E-09  5688.32E-09  
116000.E+01  2880.00E-09  3657.74E-09  
120000.E+01  2990.00E-09  4978.16E-09  
124000.E+01  3095.00E-09  9913.41E-09  
128000.E+01  3130.00E-09  6256.76E-09  
132000.E+01  3230.00E-09  5466.46E-09  
136000.E+01  3055.00E-09  5251.00E-09  
140000.E+01  3230.00E-09  9532.91E-09  
144000.E+01  3150.00E-09  4844.07E-09  
148000.E+01  3310.00E-09  4851.73E-09  
152000.E+01  3400.00E-09  5106.70E-09  
156000.E+01  3410.00E-09  1027.84E-08  
160000.E+01  3570.00E-09  2052.98E-08  
164000.E+01  3525.00E-09  6551.09E-09  
168000.E+01  3545.00E-09  8815.79E-09  
172000.E+01  3690.00E-09  6664.24E-09  
176000.E+01  3685.00E-09  5947.78E-09  
180000.E+01  3640.00E-09  1892.45E-08  
184000.E+01  3915.00E-09  1032.17E-08  
188000.E+01  3985.00E-09  1443.29E-08  
192000.E+01  4225.00E-09  9918.45E-09  
196000.E+01  4115.00E-09  1431.24E-08  
200000.E+01  4310.00E-09  2229.12E-08  
204000.E+01  4405.00E-09  1260.56E-08  
208000.E+01  4270.00E-09  2283.27E-08  
212000.E+01  4505.00E-09  9934.27E-09  
216000.E+01  4635.00E-09  9755.59E-09  
220000.E+01  4850.00E-09  1384.59E-08  
224000.E+01  5030.00E-09  8652.79E-09  
228000.E+01  5200.00E-09  1251.08E-08  
232000.E+01  5330.00E-09  7152.09E-09  
236000.E+01  5755.00E-09  1470.46E-08  
240000.E+01  5735.00E-09  2063.10E-08  
244000.E+01  5960.00E-09  1210.82E-08  
248000.E+01  6385.00E-09  1843.71E-08  
252000.E+01  6735.00E-09  1226.69E-08  
256000.E+01  7290.00E-09  1645.75E-08  
260000.E+01  7775.00E-09  3158.78E-08  
264000.E+01  8310.00E-09  1122.62E-08  
268000.E+01  8725.00E-09  2014.32E-08  
272000.E+01  9645.00E-09  1476.73E-08  
276000.E+01  1091.00E-08  2496.32E-08  
280000.E+01  1243.00E-08  3613.88E-08  
284000.E+01  1554.00E-08  2926.26E-08  
288000.E+01  2274.50E-08  4225.06E-08  
292000.E+01  4318.50E-08  6335.65E-08  
296000.E+01  6973.50E-08  8319.20E-08  
300000.E+01  7020.50E-08  8580.32E-08  
304000.E+01  3787.50E-08  4096.13E-08  
308000.E+01  1256.50E-08  1316.44E-08  
312000.E+01  2115.00E-09  3304.10E-09  
316000.E+01  4500.00E-11  1302.66E-11  
320000.E+01  0000.00E+00  0000.00E+00  
324000.E+01  0000.00E+00  0000.00E+00  
328000.E+01  0000.00E+00  0000.00E+00  
332000.E+01  0000.00E+00  0000.00E+00  
336000.E+01  0000.00E+00  0000.00E+00  
340000.E+01  0000.00E+00  0000.00E+00  
344000.E+01  0000.00E+00  0000.00E+00  
348000.E+01  0000.00E+00  0000.00E+00  
352000.E+01  0000.00E+00  0000.00E+00  
356000.E+01  0000.00E+00  0000.00E+00  
360000.E+01  0000.00E+00  0000.00E+00  
364000.E+01  0000.00E+00  0000.00E+00  
368000.E+01  0000.00E+00  0000.00E+00  
372000.E+01  0000.00E+00  0000.00E+00  
376000.E+01  0000.00E+00  0000.00E+00  
380000.E+01  0000.00E+00  0000.00E+00  
384000.E+01  0000.00E+00  0000.00E+00  
388000.E+01  0000.00E+00  0000.00E+00  
392000.E+01  0000.00E+00  0000.00E+00  
396000.E+01  0000.00E+00  0000.00E+00  
400000.E+01  0000.00E+00  0000.00E+00  

 To convert to Energy Lost - multiply by Average Binding Energy =  2  eV/Vacancy
